2022-07-13 14:55:39,013 | train | INFO | Set Logger results/train/20220713_235538
2022-07-13 14:55:40,333 | train | INFO | Load data, train:8000 val:2000
2022-07-13 14:56:34,360 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 10
2022-07-13 14:56:34,370 | train | INFO | --Train 0/30
2022-07-13 14:57:32,136 | train | INFO | batch: 0/500 loss: 8.040513038635254
2022-07-13 15:02:09,639 | train | INFO | batch: 100/500 loss: 1.3459666967391968
2022-07-13 15:07:03,074 | train | INFO | batch: 200/500 loss: 1.1005781888961792
2022-07-13 15:11:51,681 | train | INFO | batch: 300/500 loss: 1.1687251329421997
2022-07-13 15:16:36,443 | train | INFO | batch: 400/500 loss: 1.1370211839675903
2022-07-13 15:21:16,978 | train | INFO | --Val 0/30
2022-07-13 15:21:33,243 | train | INFO | batch: 0/125 loss: 1.2905559539794922
